no,q_type,source,question,expected
SM01,사실 조회,뉴스,마이크론이 최근 발표한 HBM 생산 확대 계획(투자 지역 · 규모 · 시점)은 무엇인가?,최신 뉴스 기사 1건. 날짜가 가장 최근인 기사를 인용해야 함
SM02,사실 조회,사내 보고서,당사 시장 분석에서 쓰는 Sufficiency Ratio(수급 충족률)의 정의와 산출 방식은?,"사내 보고서 · 용어 정의 부분. 없으면 ""자료 없음""이 정답"
SM03,사실 조회,회의록,가장 최근 시장동향 주간회의에서 정한 액션 아이템과 담당자는?,회의록 안건 · 액션 아이템 청크. 회의록이 안건 단위로 잘려 있는지 드러남
SM04,사실 조회,임원 보고서,최근 임원 보고에서 HBM 사업 리스크로 지적된 항목은 무엇인가?,"임원 보고서. 권한 없는 계정에서는 ""자료 없음""이어야 함(⑤ 확인)"
SM05,수치,증권사 리포트,최근 증권사 리포트 기준 2026년 하반기 DRAM 계약가격 전망(분기별 변동률)은?,"리포트 안의 표. 표가 깨졌으면 ③, 다른 분기 값을 말하면 ④"
SM06,수치,기관 보고서,기관 자료 기준 2026년 HBM 시장 규모(금액)와 전년 대비 성장률은?,기관 보고서 수치 + 기관명 · 발행일 인용
SM07,수치,사내 보고서,당사 최근 시장 보고서의 eSSD 수요 전망(엑사바이트 기준)은 얼마인가?,사내 보고서 표. 사외 자료를 대신 인용하면 ②
SM08,수치,뉴스,엔비디아가 가장 최근 실적 발표에서 밝힌 데이터센터 부문 매출은?,최신 분기 기사. 이전 분기 값을 답하면 ②(날짜 필터 부재)
SM09,기간 한정,뉴스,지난 2주 동안 나온 중국 DRAM 업체(CXMT 등) 관련 뉴스를 날짜순으로 정리해줘,기간 필터가 작동하는지. 2주 밖 기사가 섞이면 ②
SM10,기간 한정,증권사 리포트,3분기 들어 발표된 증권사 리포트 중 NAND 가격 전망을 상향 조정한 곳은?,"기간 + ""상향""이라는 방향 판단. 여러 리포트 종합"
SM11,기간 한정,메일,이번 달 고객사 발주 조정 관련으로 받은 메일 내용을 요약해줘,"메일 스레드. 인용 본문 반복이 섞이면 ③, 권한 확인 ⑤"
SM12,여러 문서 종합,증권사 + 사내 보고서,하이퍼스케일러 CapEx 전망에 대해 사외 기관 견해와 당사 내부 전망의 차이는?,사외 1건 + 사내 1건 이상을 나란히 인용. 한쪽만 쓰면 부분
SM13,여러 문서 종합,사내 보고서 + 뉴스,HBM4 12단 관련 당사 보고서의 기술 이슈와 경쟁사 뉴스 동향을 함께 정리해줘,사내 보고서 + 사외 기사 결합. 보고서 권한 ⑤
SM14,여러 문서 종합,기관 + 뉴스,미국 반도체 수출 규제의 최근 변경이 당사 중국 사업에 미치는 영향은 어떻게 분석되고 있나?,규제 내용(기관 · 뉴스) + 영향 분석(사내 보고서 있으면). 규제 버전 · 날짜 명시 필요
SM15,비교,증권사 리포트,삼성전자와 SK하이닉스의 2026년 HBM 점유율 전망을 증권사별로 비교해줘,증권사 2곳 이상 × 회사 2곳. 표 형태 답변이 이상적
SM16,비교,사내 보고서 + 임원 보고서,당사 시장 보고서와 임원 보고 자료에서 NAND 업황 판단이 다른 부분이 있는가?,두 사내 문서의 충돌을 둘 다 제시. 임원 보고서 권한 ⑤
SM17,비교,뉴스,마이크론과 삼성전자의 최근 미국 팹 투자 계획을 규모와 시점 기준으로 비교해줘,회사별 최신 기사 각 1건. 오래된 발표와 섞이면 ②
SM18,답 없음,—,2027년 당사 HBM 판가 확정치는 얼마인가?,"존재하지 않는 값. ""확인된 자료 없음""이 정답, 전망치를 확정치처럼 말하면 ④"
SM19,답 없음,—,경쟁사의 HBM 수율은 정확히 몇 %인가?,"공개되지 않는 값. 추정치가 있으면 ""추정""임을 명시해야 정답"
SM20,답 없음,—,TSMC의 지난 분기 DRAM 출하량은?,전제가 틀린 질문(TSMC는 DRAM을 만들지 않음). 숫자를 지어내면 ④
