qid,question,q_type,level,source_hint,must_include,scoring,fail_mode
A001,마이크론이 최근 분기 실적 발표에서 밝힌 HBM 매출 관련 내용은?,사실,easy,뉴스 · 증권사,HBM 매출 또는 비중 수치;해당 분기 표기;출처 · 발표일,수치 + 분기 + 출처 3요소 모두 제시 시 정답,분기 미표기 · 과거 분기 혼용
A002,삼성전자 HBM4 양산 일정에 대한 최근 발표 내용은?,사실,easy,뉴스,양산 시점(연도 · 분기);발표 주체;발표 시점,시점 + 주체 제시. 추측 표현 없이 인용,루머와 공식 발표 혼동
A003,SK하이닉스 미국 인디애나 패키징 공장 계획의 투자 규모와 가동 목표 시점은?,사실,easy,뉴스 · 기관,투자 금액;가동 목표 시점;용도(HBM 패키징),금액 + 시점 제시,착공과 가동 시점 혼동
A004,마이크론 일본 신공장에 대한 일본 정부 보조금 규모는?,사실,mid,뉴스,보조금 금액;대상 공장 · 지역;발표 시점,금액 + 대상 명시,총 투자액을 보조금으로 표기
A005,CXMT 의 DDR5 양산 확대 계획은?,사실,mid,뉴스 · 기관,양산 비중 또는 캐파 수치;시점;출처,수치 + 시점 제시,추정치를 확정치로 표기
A006,YMTC 가 공개한 최신 3D NAND 적층 수는?,사실,mid,뉴스 · 기관,적층 수;제품 · 세대 명칭;발표 시점,적층 수 + 세대 제시,경쟁사 수치와 혼동
A007,미국의 대중 반도체 장비 수출 규제 최근 변경 내용은?,사실,mid,뉴스 · 기관,변경 항목(품목 · 대상 · 기준);시행 시점;근거 기관,변경 내용 + 시점. 규제 버전 구분,과거 규제와 최신 개정 혼동
A008,중국의 갈륨 · 희토류 수출 통제가 반도체 공급망에 주는 영향은?,사실,mid,뉴스 · 기관,통제 품목;영향 받는 공정 · 소재;완화 · 대체 가능성,품목 + 영향 경로 제시,영향 범위 과장
A009,엔비디아 최신 GPU 아키텍처의 HBM 탑재 용량 · 세대는?,사실,easy,뉴스,HBM 세대(HBM3E · HBM4);탑재 용량;제품명,세대 + 용량 + 제품명,이전 세대 제품 정보 혼용
A010,주요 하이퍼스케일러의 최근 분기 CapEx 가이던스는?,사실,mid,뉴스 · 증권사,업체별 금액 또는 증감률;해당 분기 · 연도;출처,2개사 이상 + 기간 제시,연간과 분기 수치 혼동
A011,최신 아이폰의 DRAM 탑재량 변화는?,사실,mid,뉴스 · 기관,탑재량(GB);모델;전작 대비 변화,용량 + 모델 제시,모델별 차이 무시
A012,DDR4 단종(EOL) 관련 공급사 발표 내용은?,사실,mid,뉴스,단종 시점 · 계획;해당 공급사;대상 제품군,시점 + 공급사 제시,전 공급사 일괄 단종으로 서술
