qid,question,q_type,gold_doc_ids,gold_text,정답_소스,정답_제목
G001,SK하이닉스 HBM4 하이브리드 본딩 적용의 성능 개선 폭은?,수치,N019,기존 대비 전력 효율이 28% 개선되고 집적도는 20% 높아진다.,NEWS,SK하이닉스 HBM4 하이브리드 본딩 적용 — 3Q26 양산 목표
G002,AMD HBM3E 12단 발주 하락의 물량 확보 비중은?,수치,B014,키오시아는 해당 물량의 약 54%를 확보한 것으로 추정된다.,BROKER,AMD HBM3E 12단 발주 하락 — 1Q26 478만개 규모
G003,웨스턴디지털 CXL 2.0 메모리 TSV 적층 적용의 성능 개선 폭은?,수치,N020,기존 대비 전력 효율이 35% 개선되고 집적도는 20% 높아진다.,NEWS,웨스턴디지털 CXL 2.0 메모리 TSV 적층 적용 — 3Q26 양산 목표
G004,"삼성전자, 청주 M15X eSSD QLC 라인 재가동의 캐파 비중은?",수치,B004,"월 웨이퍼 투입 기준 6만장 규모로, 전체 캐파의 약 18%에 해당한다.",BROKER,"삼성전자, 청주 M15X eSSD QLC 라인 재가동"
G005,마이크론 GDDR7 EUV 다중패터닝 적용의 성능 개선 폭은?,수치,R007,기존 대비 전력 효율이 37% 개선되고 집적도는 10% 높아진다.,REPORT,마이크론 GDDR7 EUV 다중패터닝 적용 — 1Q27 양산 목표
G006,웨스턴디지털 HBM4 EUV 다중패터닝 적용의 성능 개선 폭은?,수치,M001,기존 대비 전력 효율이 15% 개선되고 집적도는 11% 높아진다.,MEETING,웨스턴디지털 HBM4 EUV 다중패터닝 적용 — 1Q27 양산 목표
G007,네덜란드 GDDR7 수출규제 유예 연장의 수출규제 변경 내용은?,사실,N001,네덜란드 당국이 GDDR7 관련 수출 통제를 유예 연장한다고 발표했다.,NEWS,네덜란드 GDDR7 수출규제 유예 연장 — 1Q27 영향 점검
G008,"YMTC, 용인 클러스터 DDR5 서버 D램 라인 증설의 캐파 비중은?",수치,X003,"월 웨이퍼 투입 기준 14만장 규모로, 전체 캐파의 약 35%에 해당한다.",EXEC_REPORT,"YMTC, 용인 클러스터 DDR5 서버 D램 라인 증설"
G009,아마존 CXL 2.0 메모리 인증 조건부 통과의 초기 배분 물량은?,수치,R004,초기 배분 물량은 전체의 21% 수준으로 1Q27부터 공급이 시작된다.,REPORT,아마존 CXL 2.0 메모리 인증 조건부 통과 — 마이크론 물량 배분 하향
G010,HBM4 재고 8.5주의 정상 재고 대비 상태는?,사실,E007,정상 재고 기준인 5주를 웃도는 상태가 1Q27까지 이어질 전망이다.,EMAIL,HBM4 재고 8.5주 — 2026-04 기준 상향
